image,name,cost,text,set,rarity,type,supertype,subtype,subtype2
 FUERZA-CAUTIVA,FUERZA CAUTIVA,0,Agotar: La unidad objetivo no puede atacar ni bloquear hasta la próxima fase final de su controlador.,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 FUERZA-DE-CHOQUE,FUERZA DE CHOQUE,1,"Frenesí. Hurto. (Siempre que esta unidad haga daño de combate a un jugador, ese jugador descarta una carta).",PACTO SECRETO,PLATA,UNIDAD,-,PIRATA,-
 FURIA_DE_FUEGO_COPIA,FURIA DE FUEGO,3,"(Como coste adicional, destruye otro insecto aliado). Envenena. Derrotado: Drena 2.",TRONO COMPARTIDO,ORO,UNIDAD,-,INSECTO,-
 FURIA_VENGADORA_COPIA,FURIA VENGADORA,1,"Si una unidad fue condenada este turno, entra con dos contadores +1/+1.",TRONO COMPARTIDO,PLATA,UNIDAD,-,MONJE,-
 GARRAS-FULMINANTES,GARRAS FULMINANTES,4,"Temible. Siempre que esta unidad reciba daño, gana un contador +1/+1.",PACTO SECRETO,ORO,UNIDAD,-,ANIMAL,-
 GATITOS-DE-BRUJA,GATITOS DE BRUJA,1,"Sorpresivo. Aparición en juego: Si controlas otra bruja o animal, interrumpe la orden de acción objetivo de coste 2 o menos.",PACTO SECRETO,PLATA,UNIDAD,-,ANIMAL,BRUJA
 GENERAL-DE-COMBATE,GENERAL DE COMBATE,3,"Dureza. Siempre que esta unidad ataque, las otras unidades que controlas ganan Dureza hasta el final del turno.",FUNDAMENTOS,PLATA,UNIDAD,-,SOLDADO,-
 GIGANTE_CONDENADO_COPIA,GIGANTE CONDENADO,3,(Sólo puede ser jugado desde el Averno). Arrollar. Resguardo: Condena una carta de tu mano.,TRONO COMPARTIDO,ORO,UNIDAD,-,DEMONIO,-
 GOTA_TOXICA_COPIA,GOTA TOXICA,1,Envenena la unidad objetivo.,TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,INSECTO
 GRADEN_REY_CORROMPIDO_COPIA,"GRADEN, REY CORROMPIDO",4,"Resguardo: Descarta una carta. Las ordenes de unidad rivales cuestan 1 de oro más. Mientras que un oponente controle una unidad ""Aixa, trono compartido"" o ""Augustus, trono compartido"", gana +2/+2 y Dureza.",TRONO COMPARTIDO,DIAMANTE,UNIDAD,REALEZA,SOLDADO,-
 GRIETA_AL_AVERNO_COPIA,GRIETA AL AVERNO,1,"Una vez durante tu turno, puedes erosionar para que el jugador objetivo condene dos cartas de su Reino. Erosión 2.",TRONO COMPARTIDO,BRONCE,MONUMENTO,-,-,-
 GRUMETE-IRREVERENTE,GRUMETE IRREVERENTE,1,Fantasmal. (Esta unidad solo puede ser bloqueada por unidades con fantasmal).,PACTO SECRETO,BRONCE,UNIDAD,-,PIRATA,-
 GRUPO-DE-ASALTO,GRUPO DE ASALTO,3,"Hurto. Aparición en juego: Si tienes Grupo de asalto en tu mano, puedes jugarlo sin pagar su coste.",PACTO SECRETO,PLATA,UNIDAD,-,PIRATA,-
 GUARDIAN_DE_LA_VITALIDAD_1_COPIA,GUARDIAN DE LA VITALIDAD,3,"Aparición en juego: Cada jugador gana 2 vidas. Siempre que ganes vidas, por cada tipo de contador en la unidad objetivo, puedes remover o añadir otro.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 GUARDIANA_DEL_ALTAR_COPIA,GUARDIANA DEL ALTAR,1,Curar (Siempre que una unidad con Curar haga daño ganas esa misma cantidad de vidas).,TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 GUARDIANA-DEL-MAR,GUARDIANA DEL MAR,1,Sorpresivo. (Puedes jugar esta carta como si fuera una acción rápida). Derrotado: Ganas 2 vidas.,PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 GUARDIANES-DE-LA-MURALLA,GUARDIANES DE LA MURALLA,1,Centinela. (Esta unidad no puede atacar).,PACTO SECRETO,BRONCE,UNIDAD,-,DESERTOR,-
 GUIA_ESPIRITUAL_DEL_OJO_COPIA,GUIA ESPIRITUAL DEL OJO,1,Derrotado: Reaparece el monje aliado objetivo.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 HADARIPOSA_COPIA,HADARIPOSA,2,"Siempre que pongas un contador -1/-1, Predicción 1. Los otros insectos aliados ganan +0/+1.",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,BRUJA
 HAMIRA-LA-PRINCESA,"HAMIRA, LA PRINCESA",1,Destruir: Cancela el efecto disparado en juego objetivo.,FUNDAMENTOS,BRONCE,UNIDAD,-,DESERTOR,-
 HECHICERA-DE-SANGRE,HECHICERA DE SANGRE,4,"Predicción 2. Si controlas al menos otras dos brujas, gana Indestructible. Al principio de tu turno, los oponentes pierden 2 vidas.",PACTO SECRETO,PLATA,UNIDAD,-,BRUJA,-
 HECHICERA-ELEMENTAL,HECHICERA ELEMENTAL,2,"Siempre que juegues una orden, hace 1 punto de daño a los  oponentes.",PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 HERMANAS-SIRENE,HERMANAS SIRENE,4,Atracción. Hurto. Aparición en juego: Toma el control de otra unidad objetivo hasta el final del turno. Esa unidad gana Frenesí.,PACTO SECRETO,PLATA,UNIDAD,-,PIRATA,-
 HERMANAS-VENENO,HERMANAS VENENO,2,"Aparición en juego: El jugador objetivo toma el control de esta unidad. Siempre que robes una carta, o una unidad que controles muera, pierdes 1 vida.",PACTO SECRETO,PLATA,UNIDAD,-,BRUJA,-
 HERMANO_CORRECTOR_COPIA,HERMANO CORRECTOR,1,Derrotado: Naturaliza el tesoro objetivo. (El permanente naturalizado pierde todas las habilidades).,TRONO COMPARTIDO,BRONCE,UNIDAD,-,ELEMENTAL,-
 HERMANO_CREADOR_COPIA,HERMANO CREADOR,1,Derrotado: Crea una ficha de tesoro.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,ELEMENTAL,-
 HEMANO_DISEÑADOR_COPIA,HERMANO DISEÑADOR,1,Aparición en juego: Mira las primeras dos cartas de tu Bóveda. Pon cualquier cantidad en el tope y el resto en el fondo.,TRONO COMPARTIDO,PLATA,UNIDAD,-,ELEMENTAL,-
 HERRERO-DE-BATALLA,HERRERO DE BATALLA,2,"Siempre que otro soldado entre al campo de batalla bajo tu control, esa unidad gana un contador +1/+1. ",FUNDAMENTOS,PLATA,UNIDAD,-,SOLDADO,-
 HUEVO-DE-DRAGON,HUEVO DE DRAGON,0,"Al principio de tu turno, si tiene 3 o menos contadores de incubación, pon un contador de incubación sobre esta tesoro. Cuando tenga 3 contadores de incubación, destruyelo y crea una ficha dragón 3/3 con Frenesí y Evasión y ""Cuando muere, mezcla Huevo de dragón en tu bóveda"".",PACTO SECRETO,ORO,TESORO,-,SAGRADO,-
 HUEVOS_DE_PANTANO_COPIA,HUEVOS DE PANTANO,0,"Al inicio de tu turno, puedes poner un contador de incubación sobre este tesoro. Cuando tenga tres, destrúyelo y crea dos fichas de insecto 3/2.",TRONO COMPARTIDO,PLATA,TESORO,-,COMUN,-
 INCUBADORA_ASESINA_COPIA,INCUBADORA ASESINA,4,"Envenena. Aparición en juego: Crea dos fichas insecto 1/1 con ""Derrotado: Envenena la unidad objetivo"".",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,-
 INCUBADORA_DEL_ENJAMBRE_COPIA,INCUBADORA DEL ENJAMBRE,3,"Los otros insectos aliados ganan +1/+0. Siempre que un insecto aliado que no sea ficha muera, crea una ficha insecto 1/1 con ""Derrotado: Envenena la unidad objetivo"".",TRONO COMPARTIDO,DIAMANTE,UNIDAD,REALEZA,INSECTO,-
 INSTIGADOR_DE_LA_MORAL_COPIA,INSTIGADOR DE LA MORAL,2,Guardián. Aparición en juego: El monje objetivo gana un contador +1/+1.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 INSTRUCTOR_NOVICIOS_COPIA,INSTRUCTOR NOVICIOS,2,Aparición en juego: Crea una ficha monje 1/1 con Curar.,TRONO COMPARTIDO,PLATA,UNIDAD,-,MONJE,-
 INVIERNO-ATROZ,INVIERNO ATROZ,0,Agotar: Las unidades del jugador objetivo ganan -1/-0 hasta el final del turno.,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 IRIS-ECOS-ETERNOS,"IRIS, ECOS ETERNOS",3,"Renacer 4. Sorpresivo. Aparición en juego: Interrumpe la orden de unidad objetivo.  Los oponentes no pueden buscar cartas a menos que paguen 4 vidas. Al principio de tu turno, pierdes 2 vidas.",PACTO SECRETO,ESMERALDA,UNIDAD,REALEZA,ETERNO,ETERNO
 JAULA-DE-PAJAROS,JAULA DE PAJAROS,1, Las unidades pierden la habilidad de Evasión hasta el final del turno.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 JAV-LA-TRAIDORA,"JAV, LA TRAIDORA",3,"Frenesí. Siempre que otra unidad con Frenesí entre al campo de batalla bajo tu control, esa unidad gana un contador +1/+1.",PACTO SECRETO,PLATA,UNIDAD,-,SOLDADO,DESERTOR
 JUDIT-LA-CAUTIVA,"JUDIT, LA CAUTIVA",3,"Atracción. Siempre que esta unidad reciba daño, hace esa misma cantidad de daño al jugador objetivo.",PACTO SECRETO,PLATA,UNIDAD,-,BRUJA,-
 JUEZ_DE_LA_CORTE_DEL_TEMPLO_COPIA,JUEZ DE LA CORTE DEL TEMPLO,5,"Aparición en juego: Condena X otras unidades aliadas objetivo de coste 3 o menos, siendo X la cantidad de monjes aliados. Regresa esas unidades al campo al inicio de tu casa próxima fase final.",TRONO COMPARTIDO,PLATA,UNIDAD,-,MONJE,-
 JUEZ_INJUSTO_COPIA,JUEZ INJUSTO,1,"Derrotado: Sentencia la unidad objetivo. (La unidad sentenciada gana ""Al comienzo de tu próxima fase final, destruye esta unidad"").",TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 KENDAL-LIDER-DEL-SINDICATO-ASESINO,"KENDAL, LIDER DEL SINDICATO ASESINO",3,"Frenesí. Siempre que esta unidad ataque, crea una ficha desertor asesino 1/1 atacando.",PACTO SECRETO,DIAMANTE,UNIDAD,-,DESERTOR,-
 kyle,"KYLE, LEYENDA VIVIENTE",4,"Si esta unidad fuera a dejar el campo, condénala en su lugar. Si lo haces, condena la unidad rival objetivo. Siempre que una unidad rival entre al campo desde el Averno, puedes pagar 4 oros. Si lo haces, regresa esta unidad del Averno al campo.",TRONO COMPARTIDO,ESMERALDA,UNIDAD,REALEZA,MAGO,MONJE
 LA-SUBOFICIAL,LA SUBOFICIAL,4,Frenesí. Hurto. Aparición en juego: Mira las primeras tres cartas de tu Reino. Puedes mostrar una carta de pirata entre ellas y ponerla en tu mano. Pon el resto en el fondo.,PACTO SECRETO,ORO,UNIDAD,-,PIRATA,-
 LANGORPION_COPIA,LANGORPION,3,Aparición en juego: Cada jugador destruye una unidad que controla.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,-
 LARIK_ENVIADA_DE_LA_CORONA_COPIA,"LARIK, ENVIADA DE LA CORONA",4,"Aparición en juego: Crea dos fichas monje 1/1 con Curar. Siempre que una o más fichas aliadas ataquen, pacifica la unidad objetivo.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,SOLDADO,MONJE
 LAS-MINAS-DE-RAFET,LAS MINAS DE RAFET,2,"Al principio de tu turno, erosiona y crea una ficha de tesoro con  “Agotar: Genera 1 de Oro y destruye este tesoro”. Erosión 2.",PACTO SECRETO,ORO,MONUMENTO,-,-,-
 LIBROS_DEL_JUEZ_INJUSTO_COPIA,LIBROS DEL JUEZ INJUSTO,0,Destruir: Sentencia la unidad objetivo.,TRONO COMPARTIDO,ORO,TESORO,-,SAGRADO,-
 LIDER_DE_LA_MANADA_COPIA,LIDER DE LA MANADA,2,"Ataca cada turno si puede. Siempre que ataque, lucha con la unidad rival objetivo, luego pierdes vidas igual al daño recibido de esta forma.",TRONO COMPARTIDO,ORO,UNIDAD,-,ANIMAL,-
 LIDER_DE_LA_PLEBE_INFERNAL_COPIA,LIDER DE LA PLEBE INFERNAL,4,Arrollar. Aparición en juego: Crea una ficha demonio 2/2.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 LIDER_DEL_ENJAMBRE_COPIA,LIDER DEL ENJAMBRE,4,"Aparición en juego: Los insectos aliados ganan +1/+0, ""1 de oro: Destruye esta unidad"" y ""Derrotado: Drena 1"". Hasta el final del turno.",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,-
 LLAVE-MAESTRA,LLAVE MAESTRA,0,"Una vez durante tu turno, puedes descartar una carta para robar una carta.",FUNDAMENTOS,PLATA,TESORO,-,COMUN,-
 LLUVIA-DE-ORO,LLUVIA DE ORO,0,Destruir: Genera 2 de Oro.,PACTO SECRETO,ORO,TESORO,-,SAGRADO,-
 LUCHADOR_DEL_TEMPLO_COPIA,LUCHADOR DEL TEMPLO,2,"Siempre que ganes vidas, gana un contador +1/+1.",TRONO COMPARTIDO,ORO,UNIDAD,-,MONJE,-
 LUZION_FURIA_DEL_AVERNO_COPIA,"LUZION, FURIA DEL AVERNO",3,"Atracción. Aparición en juego: Sentencia otra unidad objetivo. Pierdes 2 vidas. Si entró al campo desde el Averno, sentencia hasta otras unidades objetivo y ganas 2 vidas en su lugar.",TRONO COMPARTIDO,DIAMANTE,UNIDAD,REALEZA,DEMONIO,-
 MADAME-SYRA,MADAME SYRA,5,"Aparición en juego: Puedes destruir una bruja que controlas. Cuando destruyes una bruja por este efecto, puedes tomar el control de la unidad objetivo que no controlas.",PACTO SECRETO,ORO,UNIDAD,-,BRUJA,-
 MADRE_DE_DEMONIOS_COPIA,MADRE DE DEMONIOS,2,"Siempre que esta carta sea condenada desde cualquier parte, crea una ficha demonio 2/2. Derrotado: Condena esta unidad.",TRONO COMPARTIDO,ORO,UNIDAD,-,DEMONIO,-
 MAGISTRADO_INFERNAL_COPIA,MAGISTRADO INFERNAL,3,"Aparición en juego: Condena dos cartas de tu Reino, luego pon el campo una carta de unidad de tu Averno de coste 2 o menos. Si es un demonio, cada jugador condena una carta de su mano.",TRONO COMPARTIDO,ORO,UNIDAD,-,DEMONIO,-
 MAGO-DE-LA-CORONA,MAGO DE LA CORONA,4,Atracción. Centinela. 3 de Oro: Interrumpe la orden de unidad objetivo.,PACTO SECRETO,ORO,UNIDAD,-,SOLDADO,MAGO
 MALAKHAR_LA_INFAME_COPIA,"MALAKHAR, LA INFAME",4,"Evasión. Guardián. Aparición en juego: Condena hasta dos cartas de unidad objetivo de un Descarte. Una vez por turno, puedes jugar una carta de unidad demonio de tu Averno.",TRONO COMPARTIDO,PLATA,UNIDAD,-,DEMONIO,-
 MANADA-FELINA,MANADA FELINA,3,Sorpresivo. (Puedes jugar esta carta como si fuera una acción rápida). Aparición en juego: Crea dos fichas animal 1/1.,PACTO SECRETO,PLATA,UNIDAD,-,ANIMAL,-
 MANIPULADOR_DE_PORTALES_COPIA,MANIPULADOR DE PORTALES,3,Aparición en juego: Condena otra unidad objetivo hasta que esta unidad deje el campo.,TRONO COMPARTIDO,PLATA,UNIDAD,-,MONJE,-
 MANUSCRITO-DEMONIACO,MANUSCRITO DEMONIACO,0,"Agotar: Hasta el final del turno, siempre que una unidad muera, envíala al averno en su lugar.",PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 MARAVILLA_ATERRADORA_COPIA,MARAVILLA ATERRADORA,5,Evasión. Aparición en juego: Envenena las otras unidades.,TRONO COMPARTIDO,ORO,UNIDAD,REALEZA,INSECTO,-
 MAREA-CORPOREA,MAREA CORPOREA,5,Aparición en juego: Mezcla tres tesoros objetivo de cada jugador en su respectiva Bóveda. Cada jugador gana 3 vidas.,PACTO SECRETO,DIAMANTE,UNIDAD,-,ELEMENTAL,-
 MASCARA-TRIBAL,MASCARA TRIBAL,0,Agotar: La unidad objetivo gana Temible hasta el final del turno.,PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 MAXIMUS-EL-GENERAL,"MAXIMUS, EL GENERAL",5,Arrollar. Frenesí. Aparición en juego: Las unidades que controlas ganan dos contadores +1/+1. Las unidades que controlas ganan Arrollar.,FUNDAMENTOS,DIAMANTE,UNIDAD,REALEZA,SOLDADO,-
 MECARAÑA_PROTECTORA_COPIA,MECARAÑA PROTECTORA,2,"Dureza. Siempre que reciba daño de combate de una unidad, la envenena.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,SOLDADO,INSECTO
 MEDICO-DE-GUERRA,MEDICO DE GUERRA,3,Las otras unidades que controlas ganan +1/+1.,FUNDAMENTOS,ORO,UNIDAD,-,SOLDADO,-
 MENTE-ILUMINADA,MENTE ILUMINADA,0,Agotar: La unidad objetivo gana Indestructible hasta el final del turno.,FUNDAMENTOS,PLATA,TESORO,-,COMUN,-
 MIGRACION,MIGRACION,1,Regresa la unidad objetivo a la mano de su propietario.,FUNDAMENTOS,BRONCE,ACCION,-,RAPIDA,-
 MINERAL_CONDENADO_COPIA,MINERAL CONDENADO,3,Guardián. Aparición en juego: Elige 1: -Crea una ficha de tesoro. -Condena el Descarte del jugador objetivo. -Ganas 3 vidas.,TRONO COMPARTIDO,PLATA,UNIDAD,-,ELEMENTAL,DEMONIO
 MINERO-VOLUNTARIO,MINERO VOLUNTARIO,1,"Si un oponente controla al menos un soldado, esta unidad gana +1/+1. ",PACTO SECRETO,BRONCE,UNIDAD,-,DESERTOR,-
 MIRK_BORNIANO_COLERICO_COPIA,MIRK BORNIANO COLERICO,9,Curar. Guardián. Resguardo: 1 de oro. Cuesta 1 menos de oro por cada vida que ganaste este turno. El coste no puede ser menos que 1.,TRONO COMPARTIDO,DIAMANTE,UNIDAD,-,MONJE,-
 GUARDIAN_DE_LA_VITALIDAD_COPIA,MISIONERO DEL OJO,2,"Aparición en juego: Si ganaste vidas este turno, el oponente objetivo descarta una carta.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,PIRATA,MONJE
 MONTAÑA_DE_LA_INVOCACION_COPIA,MONTAÑA DE LA INVOCACION,3,"Aparición en juego: Crea una ficha demonio 2/2. Siempre que una ficha de unidad aliada entre al campo, puedes condenar otra unidad aliada que no sea ficha. Si lo haces, crea una copia de esa ficha.",TRONO COMPARTIDO,ORO,UNIDAD,REALEZA,DEMONIO,ELEMENTAL
 MORGAN-TERROR-DE-LOS-MARES,"MORGAN, TERROR DE LOS MARES",5,Frenesí. Hurto. Aparición en juego: El jugador objetivo descarta tres cartas.,PACTO SECRETO,DIAMANTE,UNIDAD,REALEZA,PIRATA,-
 MUERTE-INMINENTE,MUERTE INMINENTE,1,"Como coste adicional, pierdes 2 vidas. Destruye la unidad objetivo de fuerza 3 o menos.",PACTO SECRETO,ORO,ACCION,-,RAPIDA,-
 MULTIPLICAR-LOS-PANES,MULTIPLICAR LOS PANES,0,Destruir: Crea una copia de la unidad objetivo. Destruye dicha copia al final de tu turno.,FUNDAMENTOS,ORO,TESORO,-,COMUN,-
 MURALLA-IMPENETRABLE,MURALLA IMPENETRABLE,3,"Al principio de tu turno, erosiona. Las unidades que no controlas ganan -1/-0. Erosion 4.",PACTO SECRETO,BRONCE,MONUMENTO,-,-,-
 NATA-MADRE-DEL-BOSQUE,"NATA, MADRE DEL BOSQUE",4,Aparición en juego: Busca en tu Reino a Árbol anciano y ponlo en la parte superior de tu Reino.,PACTO SECRETO,PLATA,UNIDAD,-,ELEMENTAL,-
 NICOL-LA-APRENDIZ,"NICOL, LA APRENDIZ",2,Aparición en juego: El jugador objetivo muestra su mano. Elige una carta de acción. Ese jugador descarta esa carta.,PACTO SECRETO,PLATA,UNIDAD,-,BRUJA,-
 ORACULO-DEL-DESTINO,ORACULO DEL DESTINO,2,"Roba dos cartas de tu Reino, luego descarta una carta.",PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 ORDEN-DE-SALVACION,ORDEN DE SALVACION,3,Ganas 1 vida por cada unidad que controlas en la zona de formación.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 ORDENANDO_LA_CONDENA_COPIA,ORDENANDO LA CONDENA,1,"Pacifica la unidad objetivo. Si ganaste vidas este turno, condénala en su lugar. El controlador gana vidas igual a su fuerza.",TRONO COMPARTIDO,ORO,ACCION,-,COMUN,MONJE
 ORNAMENTA-MARAVILLOSA,ORNAMENTA MARAVILLOSA,3,Arrollar. Gana +1/+1 por cada otra Ornamenta maravillosa que controlas.,PACTO SECRETO,BRONCE,UNIDAD,-,ANIMAL,-
 PACIFICADOR_COPIA,PACIFICADOR,1,Guardián. Aparición en juego: Pacifica la unidad objetivo.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 PAGO-ADELANTADO,PAGO ADELANTADO,0,Agotar: Mueve el tesoro objetivo a la zona de tesoros agotados.,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 PANTANO_DE_BORNIS_COPIA,PANTANO DE BORNIS,0,"Destruir: Hasta el final del turno, siempre que una unidad aliada muera, cada oponente pierde 1 vida.",TRONO COMPARTIDO,DIAMANTE,TESORO,-,SAGRADO,-
 PEDRUSCO-INTIMIDANTE,PEDRUSCO INTIMIDANTE,3,Las unidades de fuerza 4 o más  que no controlas no pueden atacar.,PACTO SECRETO,PLATA,UNIDAD,REALEZA,ELEMENTAL,-
 PET-PERRO-LADRON,"PET, PERRO LADRON",5,Temible. Hurto. Cuesta 1 menos por cada pirata que controlas. El coste no puede ser menor que 1.,PACTO SECRETO,PLATA,UNIDAD,-,PIRATA,-
 PHILL-EL-MEJOR-AMIGO,"PHILL, EL MEJOR AMIGO",2,"Si controlas a Tim, el valiente esta unidad gana +1/+1.",PACTO SECRETO,BRONCE,UNIDAD,-,ANIMAL,-
 PLANES-FRUSTRADOS,PLANES FRUSTRADOS,2,Interrumpe la orden objetivo.,FUNDAMENTOS,ORO,ACCION,-,RAPIDA,-
 PORTA-ESTANDARTE,PORTA ESTANDARTE,1,Destruir: Las unidades que controlas ganan +0/+2 hasta el final del turno.,FUNDAMENTOS,BRONCE,UNIDAD,-,SOLDADO,-
 PORTACION,PORTACION,0,Agotar: La unidad objetivo gana +1/+1 hasta el final del turno.,PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 Mesa_de_trabajo_121_copia,PORTAL AL AVERNO,0,Agotar:  Crea una ficha demonio 1/1.,PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 PORTAL_EN_EL_CASTILLO_COPIA,PORTAL EN EL CASTILLO,3,"Aparición en juego: Condena la unidad rival objetivo y la unidad aliada objetivo. Derrotado: Cada jugador crea una ficha demonio 0/3 con ""Derrotado: Roba una carta"". Al inicio de tu fase final, erosiona. Erosión 1.",TRONO COMPARTIDO,PLATA,MONUMENTO,-,DEMONIO,-
 PREPARACION,PREPARACION,2,La unidad objetivo gana +2/+2 y Arrollar hasta el final del turno.,FUNDAMENTOS,BRONCE,ACCION,-,RAPIDA,-
 PRIMER_ENCUENTRO_COPIA,PRIMER ENCUENTRO,2,Elige 2: -Crea una ficha monje 1/1 con Curar. -Pacifica la unidad objetivo. -Remueve hasta dos contadores de la unidad objetivo. -Ganas 2 vidas.,TRONO COMPARTIDO,PLATA,ACCION,-,RAPIDA,MONJE
 PRIMERA_LINEA_COPIA,PRIMERA LINEA,3,Curar. Guardián.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 PRISIONERO-DE-GUERRA,PRISIONERO DE GUERRA,1,Derrotado: Busca una carta en tu Reino de coste 2 o menos y puedes jugarla sin pagar su coste hasta el final del turno.,FUNDAMENTOS,BRONCE,UNIDAD,-,SOLDADO,-
 PROMESA-DE-PAGO,PROMESA DE PAGO,0,Agotar y poner este tesoro en el fondo de tu bóveda: Revela un tesoro adicional en tu próxima fase de revelación.,PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 PROTECCION-DIVINA,PROTECCION DIVINA,2,Previene todo el daño de combate que se fuera a hacer este turno.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 PROTECTOR-DE-MINERALES,PROTECTOR DE MINERALES,3,Los oponentes solo pueden generar Oro con la habilidad de Agotar.,PACTO SECRETO,BRONCE,UNIDAD,-,ELEMENTAL,-
 RAIZ_DE_CURACION_COPIA,RAIZ DE CURACION PROVISORIA,1,"La unidad objetivo gana +2/+2 hasta el final del turno. Si está envenenada, roba una carta.",TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,-
 RAMAPUA_OCULTA,RAMAPUA OCULTA,1,Derrotado: Envenena la unidad objetivo.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,-
 RANGEL-DANZANTE,RANGEL DANZANTE,3,Sorpresivo. Aparición en juego: Interrumpe la orden de unidad objetivo.,PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 RASCAL-EL-OSCURO,"RASCAL, EL OSCURO",3,Frenesí. Al principio de tu primera fase central hace 1 punto de daño al jugador objetivo.,FUNDAMENTOS,PLATA,UNIDAD,-,DESERTOR,-
 RECLUTAMIENTO_FRUCTIFERO_COPIA,RECLUTAMIENTO FRUCTIFERO,3,"Hasta el final del turno, siempre que una unidad aliada entre al campo, roba una carta.",TRONO COMPARTIDO,BRONCE,ACCION,-,COMUN,-
 RECUERDO-AMOROSO,RECUERDO AMOROSO,0,"Una vez durante tu turno, si controlas cinco o más tesoros, puedes pagar 3 vidas para robar una carta.",PACTO SECRETO,DIAMANTE,TESORO,-,SAGRADO,-
 RECURSOS-HUMANOS,RECURSOS HUMANOS,0,Agotar y destruir una unidad que controlas: Los otros jugadores derrumban tres cartas de su Reino (ponen las primeras 3 cartas de su Reino en el descarte).,PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 REFUERZO-METALICO,REFUERZO METALICO,0,Agotar: Hasta dos unidades objetivo ganan +0/+2 hasta el final del turno.,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 REFUERZOS,REFUERZOS,4,Crea cuatro fichas de soldado 1/1.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 REINA_DE_LA_INFECCION_COPIA,REINA DE LA INFECCION,4,"Aparición en juego: Reparte tres contadores -1/-1 entre cualquier cantidad de unidades objetivo. Siempre que pongas un contador -1/-1 en una unidad rival, crea una ficha insecto 1/1 con ""Derrotado: Envenena la mitad objetivo"".",TRONO COMPARTIDO,ORO,UNIDAD,REALEZA,INSECTO,-
 REPRODUCTOR_FEROZ_COPIA,REPRODUCTOR FEROZ,6,Aparición en juego: Crea una ficha insecto 3/2. Aparición en juego: Los animales e insectos aliadas ganan +1/+1 y Frenesí hasta el final del turno.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,ANIMAL
 RESERVAS_DE_ORO_COPIA,RESERVAS DE ORO,2,"Una vez por turno, puedes erosionar para mirar las primeras dos cartas de tu Bóveda. Pon cualquier cantidad en el tope y el resto en el fondo. Erosión 2.",TRONO COMPARTIDO,BRONCE,MONUMENTO,-,-,-
 RESURGIMIENTO_COPIA,RESURGIMIENTO,3,"(Como coste adicional, pierdes 2 vidas). Pon en el campo la carta de unidad objetivo de tu Averno de coste 3 o menos. Si es un demonio, entra con un contador +1/+1.",TRONO COMPARTIDO,ORO,ACCION,-,RAPIDA,DEMONIO
 RESURRECCION,RESURRECCION,2,Pon en el campo de batalla la carta de unidad objetivo de tu descarte de coste 2 o menos.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 RETIRADA,RETIRADA,0,Agotar: Mueve la unidad objetivo a la zona de formación. ,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 REVOLUCION-DEL-DESTIERRO,REVOLUCION DEL DESTIERRO,2, Hace 1 punto de daño por cada desertor que controlas a cualquier objetivo.,FUNDAMENTOS,PLATA,ACCION,-,COMUN,-
